"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C19","3","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C4","2","15p","","","","Capacitor_SMD:C_0805_2012Metric",""
"C6,C7","2","4.7u","","","","RP2354A:C_0402_1005Metric_small_pads",""
"C8,C11,C12,C13,C14,C15,C16,C17,C18","9","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C9","1","4.7u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C10","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","SK6812","","","","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf"
"J1","1","USB","","","","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Horizontal",""
"J2","1","SWD","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Horizontal",""
"L1","1","AOTA-B201610S3R3-101-T","","","","AOTA-B201610S3R3-101-T:AOTAB201610S3R3101T","https://abracon.com/datasheets/AOTA-B201610S3R3-101-T.pdf"
"R1","1","5k1","","","","Resistor_SMD:R_0402_1005Metric",""
"R2","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","500","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","1","33","","","","Resistor_SMD:R_0402_1005Metric",""
"R7,R8","2","27","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","RP2354A","","","","RP2354A:RP2354A-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias","https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf"
"U2","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"Y1","1","ABM8-272-T3","","","","ABM8-272-T3:ABM8272T3","https://abracon.com/datasheets/ABM8-272-T3.pdf"
